Series Name,Series Code,Country Name,Country Code,2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,33.7486801147461,42.4,44.8548851013184,42.7,43.2220189082037,69.1,67.2595520019531,89.5,71.5,84.1371383666992
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,98.7701416015625,99.3,98.8276748657227,98.8849716186523,98.9572982788086,98.7646604654583,99.1349868774414,99.2343444824219,99.3367080688477,99.439567565918
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,37.5,31.2680130004883,32.3824691772461,33.514949798584,34.6,35.821964263916,36.9904899597168,32,42,40.5206069946289
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,92.8556442260742,93.2994079589844,93.7641983032227,94.2470092773438,94.5520140336941,95.2546920776367,95.773551940918,96.2984161376953,96.8262939453125,97.3546676635742
Access to electricity (% of population),EG.ELC.ACCS.ZS,Arab World,ARB,84.7357232408233,85.4328268149662,85.1898151220048,86.1361336464124,86.782683284186,87.2882439402148,88.3897051476481,88.0767741380158,88.5179673938546,88.7686540243445
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,97.5394134521484,97.9341278076172,98.3633651733398,98.82,99.2161636352539,99.5844116210938,99.8371276855469,99.9592437744141,99.9952087402344,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,99.3310394287109,99.4156494140625,99.5198135375976,99.8,99.7671508789062,99.8788757324219,99.9540557861328,99.9889755249023,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,92.8388214111328,93.086166381836,93.3545455932617,93.3562921509542,93.9423751831055,94.2558135986328,94.5782623291016,94.9067230224609,95.2381820678711,95.5701446533203
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,99.562141418457,99.7418060302734,99.8847351074219,99.9656753540039,99.9,99.9997100830078,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,98.3253021240234,98.7536849975586,99.1822662353516,99.5609893798828,99.8256530761719,99.9557952880859,99.9947357177734,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,46.5,51.2497749328613,53.6328544616699,55.26,59.6,60.8782157897949,61.5,62.4,68.2046813964844,75.92
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,90.4782562255859,90.6150207519531,90.7728118896484,89.9172243747798,91.6817359855335,91.3423233032227,91.5541839599609,91.7720565795898,91.8,92.2143173217773
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,29.3367118835449,30.6212387084961,31.9267921447754,34.2,36.9,38.4,37.2992057800293,34.1,40.0334777832031,41.4026145935059
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,71.8,70.0135040283203,74.4616470336914,73.2829108748978,83.4089965820313,91.5,92.4044189453125,96.9126434326172,98.4235229492188,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,80.156567,84.674991,86.765597,84.2948150634766,88.335943,90.387375,89.505686,90.038729,91.522822,93.0391311645508
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Jobs,,,,,,,,,,,,,
Last Updated: 04/25/2018,,,,,,,,,,,,,
